n_matrixA_row,n_matrixA_col,n_matrixB_row,n_matrixB_col,runs,mpi_avg_sec,seq_avg_sec,cblas_avg_sec
10,10,10,10,5,0.002515,,0.000310
100,100,100,100,5,0.002535,,0.001445
500,500,500,500,5,0.011332,,0.006553
1000,1000,1000,1000,5,0.029338,,0.042597
10000,10000,10000,10000,5,11.672000,,40.579511
